iter	Passed	Remaining
428	1565	2084
429	1568	2079
430	1571	2074
431	1574	2070
432	1576	2064
433	1579	2059
434	1583	2056
435	1586	2051
436	1588	2046
437	1591	2041
438	1593	2036
439	1596	2031
440	1599	2027
441	1602	2022
442	1604	2017
443	1607	2012
444	1609	2007
445	1612	2003
446	1616	1999
447	1618	1994
448	1621	1989
449	1624	1985
450	1626	1980
451	1630	1976
452	1632	1971
453	1635	1967
454	1638	1962
455	1641	1958
456	1644	1953
457	1647	1950
458	1650	1945
459	1653	1940
460	1656	1936
461	1659	1932
462	1663	1928
463	1665	1924
464	1668	1919
465	1671	1915
466	1673	1910
467	1675	1905
468	1679	1901
469	1682	1896
470	1684	1892
471	1687	1887
472	1689	1882
473	1692	1877
474	1695	1874
475	1698	1869
476	1701	1865
477	1704	1860
478	1706	1856
479	1709	1851
480	1712	1848
481	1715	1844
482	1718	1839
483	1721	1835
484	1723	1830
485	1727	1826
486	1730	1822
487	1732	1817
488	1735	1813
489	1738	1809
490	1741	1805
491	1744	1801
492	1747	1797
493	1750	1792
494	1753	1788
495	1756	1784
496	1760	1781
497	1762	1776
498	1765	1772
499	1768	1768
500	1771	1764
501	1774	1759
502	1778	1756
503	1781	1752
504	1784	1749
505	1787	1744
506	1789	1740
507	1793	1737
508	1796	1732
509	1799	1728
510	1801	1724
511	1804	1720
512	1808	1716
513	1811	1712
514	1813	1708
515	1816	1703
516	1819	1699
517	1821	1695
518	1825	1691
519	1828	1687
520	1830	1683
521	1833	1678
522	1836	1675
523	1839	1670
524	1842	1666
525	1844	1662
526	1847	1658
527	1849	1653
528	1852	1649
529	1856	1646
530	1859	1642
531	1861	1637
532	1864	1633
533	1867	1629
534	1869	1625
535	1873	1621
536	1875	1617
537	1878	1613
538	1881	1608
539	1883	1604
540	1886	1600
541	1889	1596
542	1891	1592
543	1894	1588
544	1897	1584
545	1899	1579
546	1902	1575
547	1906	1572
548	1909	1568
549	1912	1564
550	1914	1560
551	1917	1555
552	1920	1552
553	1923	1548
554	1926	1544
555	1928	1539
556	1931	1535
557	1933	1531
558	1937	1528
559	1940	1524
560	1943	1520
561	1945	1516
562	1948	1512
563	1951	1508
564	1955	1505
565	1958	1501
566	1961	1497
567	1963	1493
568	1966	1489
569	1969	1486
570	1972	1482
571	1975	1478
572	1978	1474
573	1981	1470
574	1984	1466
575	1987	1462
576	1990	1458
577	1992	1454
578	1995	1450
579	1998	1446
580	2002	1443
581	2004	1439
582	2006	1435
583	2010	1431
584	2013	1428
585	2015	1423
586	2019	1420
587	2022	1416
588	2024	1412
589	2027	1408
590	2030	1405
591	2033	1401
592	2036	1398
593	2039	1394
594	2042	1390
595	2044	1386
596	2047	1382
597	2051	1378
598	2053	1374
599	2056	1370
600	2059	1366
601	2061	1363
602	2064	1359
603	2067	1355
604	2070	1351
605	2072	1347
606	2074	1343
607	2077	1339
608	2080	1335
609	2083	1332
610	2086	1328
611	2089	1324
612	2092	1320
613	2095	1317
614	2099	1314
615	2101	1310
616	2104	1306
617	2107	1302
618	2110	1299
619	2114	1296
620	2117	1292
621	2120	1288
622	2122	1284
623	2125	1280
624	2128	1276
625	2131	1273
626	2134	1269
627	2137	1265
628	2139	1262
629	2142	1258
630	2145	1254
631	2148	1250
