iter	RMSE
0	111.7231181
1	110.1400029
2	108.6619865
3	107.2274131
4	106.1648982
5	105.0482029
6	104.1141716
7	103.2756437
8	102.4043681
9	101.6346158
10	100.9598436
11	100.3686282
12	99.81701215
13	99.23846062
14	98.66735761
15	98.22495864
16	97.83984589
17	97.4534013
18	97.13930194
19	96.79866868
20	96.52406345
21	96.2421995
22	95.93076379
23	95.66961744
24	95.38258345
25	95.18945254
26	94.98725412
27	94.80532674
28	94.57008289
29	94.43103868
30	94.27244805
31	94.09252524
32	93.96325728
33	93.78018472
34	93.71995657
35	93.5544049
36	93.37917293
37	93.26231487
38	93.1001322
39	92.97346556
40	92.81836337
41	92.68931264
42	92.60333018
43	92.48682663
44	92.38293548
45	92.27054956
46	92.15903306
47	92.0951027
48	92.02429264
49	91.93904662
50	91.85349956
51	91.7458305
52	91.64183813
53	91.56813009
54	91.47226953
55	91.3995701
56	91.27880582
57	91.2130328
58	91.13225277
59	91.0405194
60	90.96020695
61	90.90110816
62	90.82309647
63	90.75533189
64	90.72221637
65	90.64400195
66	90.54875938
67	90.51988019
68	90.4558679
69	90.36290374
70	90.29648692
71	90.23504103
72	90.21572125
73	90.18207655
74	90.12519975
75	90.08891437
76	90.03297442
77	89.97662664
78	89.9116378
79	89.86602474
80	89.82409719
81	89.77887354
82	89.74395622
83	89.68464766
84	89.65109743
85	89.58316291
86	89.46643689
87	89.36662513
88	89.33754997
89	89.30919222
90	89.27704154
91	89.24984337
92	89.22405035
93	89.1866957
94	89.14360842
95	89.10794502
96	89.08805463
97	89.06564817
98	89.0330947
99	88.99405805
100	88.96544297
101	88.91156352
102	88.85655785
103	88.80637544
104	88.76161561
105	88.71747413
106	88.68789677
107	88.66555592
108	88.63145992
109	88.5547517
110	88.44470038
111	88.43091836
112	88.39984964
113	88.34897464
114	88.31709334
115	88.30674424
116	88.30100458
117	88.25686986
118	88.23749865
119	88.17216398
120	88.13073941
121	88.1060281
122	88.0722601
123	88.03367036
124	87.98862858
125	87.96461045
126	87.93602281
127	87.90249356
128	87.85260959
129	87.80486146
130	87.74552581
131	87.73478019
132	87.67987805
133	87.64816642
134	87.61969686
135	87.57926106
136	87.53305359
137	87.50570951
138	87.48201011
139	87.44481718
140	87.41481064
141	87.38817059
142	87.37737107
143	87.33761506
144	87.28366242
145	87.25720936
146	87.23215501
147	87.18895471
148	87.16601768
149	87.13561715
150	87.10772823
151	87.09235557
152	87.07482761
153	87.03216466
154	87.01241569
155	86.98844912
156	86.94484959
157	86.91872821
158	86.8936255
159	86.84346476
160	86.81383229
161	86.78362191
162	86.7736599
163	86.72624112
164	86.69967954
165	86.66335056
166	86.63771611
167	86.61642534
168	86.5977332
169	86.56941504
170	86.55338959
171	86.53825871
172	86.49526264
173	86.4762011
174	86.45783829
175	86.4352161
176	86.41328388
177	86.39208142
178	86.36940805
179	86.35229401
180	86.32711056
181	86.30454456
182	86.26314752
183	86.21531157
184	86.18175082
185	86.15516192
186	86.13426442
187	86.10906981
188	86.07125416
189	86.03642288
190	86.01561378
191	85.99859493
192	85.9799308
193	85.96384565
194	85.94547979
195	85.91413373
196	85.86589325
197	85.82664214
198	85.79943775
199	85.77240303
200	85.75381096
201	85.73456884
202	85.71638997
203	85.69049164
204	85.67312094
205	85.6559918
206	85.63835386
207	85.58708992
208	85.56979989
209	85.55128589
210	85.51532431
211	85.49623142
212	85.47244714
213	85.45740066
214	85.43531322
215	85.42016786
216	85.4003293
217	85.34771231
218	85.31722801
219	85.30211894
220	85.27099513
221	85.26124809
222	85.23196782
223	85.21418601
224	85.19872585
225	85.18688275
226	85.16683534
227	85.15555217
228	85.13514906
229	85.11170062
230	85.09409789
231	85.07325435
232	85.03031746
233	85.01616414
234	85.00629383
235	84.99425729
236	84.9830706
237	84.96167417
238	84.93687275
239	84.89400128
240	84.880742
241	84.86537202
242	84.85505491
243	84.84294831
244	84.83216104
245	84.79503394
246	84.78190136
247	84.76453748
248	84.72155655
249	84.6973758
250	84.68330891
251	84.67266727
252	84.64992088
253	84.57475856
254	84.56535957
255	84.54736055
256	84.53493854
257	84.52349928
258	84.51368351
259	84.50373843
260	84.49209899
261	84.46912959
262	84.44141587
263	84.42581098
264	84.40473199
265	84.38959066
266	84.37114432
267	84.35695192
268	84.31916759
269	84.30814486
270	84.298135
271	84.2688993
272	84.25161689
273	84.23906226
274	84.21885079
275	84.19938512
276	84.17473955
277	84.16409965
278	84.15472426
279	84.13226248
280	84.11874628
281	84.08151924
282	84.04152342
283	84.02442721
284	84.00780067
285	83.9977543
286	83.97566015
287	83.95308958
288	83.94054
289	83.93473557
290	83.90971286
291	83.88641572
292	83.86386235
293	83.84327179
294	83.77127703
295	83.75703855
296	83.74753939
297	83.73348367
298	83.69927949
299	83.67811735
300	83.66163879
301	83.63697241
302	83.62978957
303	83.61599264
304	83.59830556
305	83.58977277
306	83.5717097
307	83.56336673
308	83.55112434
309	83.54340831
310	83.51075945
311	83.49826348
312	83.47856754
313	83.46782879
314	83.40052503
315	83.37658756
316	83.36116108
317	83.34452201
318	83.33111471
319	83.31510959
320	83.30818964
321	83.29657198
322	83.280528
323	83.26527003
324	83.24685618
325	83.23192929
326	83.21544361
327	83.20934408
328	83.19921655
329	83.1839699
330	83.17245899
331	83.15693878
332	83.13973946
333	83.10689865
334	83.09079755
335	83.08055966
336	83.05489893
337	83.03267417
338	83.02507708
339	83.01056803
340	83.00100732
341	82.99470687
342	82.98923629
343	82.97982645
344	82.9690091
345	82.96059771
346	82.95415369
347	82.93771129
348	82.93060511
349	82.91404365
350	82.89483
351	82.8836007
352	82.87553555
353	82.85530356
354	82.83014662
355	82.8172535
356	82.80517466
357	82.79767053
358	82.77497557
359	82.76735535
360	82.75859615
361	82.74371014
362	82.734334
363	82.7249623
364	82.70578187
365	82.69696646
366	82.68654132
